classe,codigo,descricao,unidade,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
Drenos,102687,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE CONCRETO SIMPLES POROSO, DN 200 MM, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,0.0556,0.0972,0.0721,0.0483,0.1119,0.1028,0.0808,0.0998,0.0942,0.0953,0.1021,0.0985,0.073,0.0685,0.0892,0.0988,0.0484,0.1427,0.1164,0.0855,0.0628,0.0651,0.1136,0.1197,0.0841,0.1451,0.0761
Drenos,102670,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE PEAD CORRUGADO PERFURADO, DN 100 MM, ENCHIMENTO COM AREIA, COM SELO DE ARGILA. AF_07/2021",M,0.1,0.1003,0.1451,0.0868,0.1163,0.1143,0.0799,0.1677,0.0893,0.0904,0.0992,0.1434,0.1023,0.1259,0.0936,0.0971,0.127,0.1253,0.1666,0.1112,0.1029,0.1793,0.1435,0.1071,0.1256,0.1866,0.1026
Drenos,102674,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE PEAD CORRUGADO PERFURADO, DN 100 MM, ENCHIMENTO COM AREIA. AF_07/2021",M,0.0817,0.0816,0.1201,0.0693,0.096,0.0935,0.0646,0.1393,0.0731,0.0727,0.0813,0.1192,0.0832,0.1032,0.0759,0.0788,0.1048,0.1022,0.1379,0.0912,0.0831,0.1511,0.118,0.0875,0.1035,0.1568,0.084
Drenos,102680,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE PEAD CORRUGADO PERFURADO, DN 100 MM, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL, COM SELO DE ARGILA. AF_07/2021",M,0.051,0.0868,0.0665,0.0447,0.1065,0.1003,0.0746,0.0999,0.0915,0.094,0.1042,0.0967,0.069,0.0632,0.0867,0.0974,0.048,0.127,0.1168,0.0858,0.0604,0.0596,0.1093,0.1094,0.0752,0.1446,0.0723
Drenos,102684,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE PEAD CORRUGADO PERFURADO, DN 100 MM, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,0.0398,0.0711,0.0523,0.0344,0.088,0.0819,0.0593,0.0804,0.0742,0.076,0.0851,0.0795,0.0549,0.0498,0.0711,0.0794,0.0382,0.1054,0.0965,0.0692,0.0474,0.0469,0.0895,0.0897,0.0611,0.1212,0.0579
Drenos,102672,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE PVC CORRUGADO RÍGIDO PERFURADO, DN 100 MM, ENCHIMENTO COM AREIA, COM SELO DE ARGILA. AF_07/2021",M,0.1188,0.1205,0.1713,0.1119,0.1429,0.1339,0.1042,0.1542,0.1107,0.1186,0.1212,0.1427,0.1206,0.143,0.1139,0.1276,0.1439,0.1501,0.1806,0.1297,0.1274,0.1853,0.1481,0.1327,0.1417,0.1865,0.12
Drenos,102676,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE PVC CORRUGADO RÍGIDO PERFURADO, DN 100 MM, ENCHIMENTO COM AREIA. AF_07/2021",M,0.0795,0.0782,0.1191,0.0725,0.0979,0.0901,0.0666,0.1068,0.0722,0.0759,0.0815,0.0982,0.0784,0.0958,0.0743,0.0822,0.0972,0.0989,0.1235,0.0864,0.0828,0.13,0.101,0.0884,0.096,0.1309,0.0793
Drenos,102681,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE PVC CORRUGADO RÍGIDO PERFURADO, DN 100 MM, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL, COM SELO DE ARGILA. AF_07/2021",M,0.0551,0.0822,0.0739,0.05,0.1058,0.0953,0.074,0.0888,0.0851,0.092,0.098,0.0872,0.0687,0.0665,0.0822,0.0964,0.0532,0.116,0.1112,0.0831,0.0644,0.0653,0.0978,0.1044,0.0763,0.1267,0.0715
Drenos,102685,"DRENO PROFUNDO (SEÇÃO 0,50 X 1,50 M), COM TUBO DE PVC CORRUGADO RÍGIDO PERFURADO, DN 100 MM, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,0.0452,0.0709,0.0609,0.0404,0.0915,0.0819,0.0623,0.0759,0.0731,0.0783,0.0844,0.0757,0.0577,0.0551,0.0709,0.0826,0.0442,0.1012,0.0964,0.0706,0.0531,0.0539,0.0844,0.0901,0.0651,0.1115,0.0605
Drenos,102664,"DRENO SUBSUPERFICIAL (SEÇÃO 0,40 X 0,40 M), CEGO, ENCHIMENTO DE BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,0.0796,0.128,0.0972,0.068,0.1436,0.1415,0.1191,0.143,0.145,0.1418,0.1485,0.1365,0.1093,0.0968,0.1238,0.1475,0.0706,0.1797,0.1584,0.1331,0.0934,0.0931,0.152,0.1544,0.1046,0.1948,0.1107
Drenos,102665,"DRENO SUBSUPERFICIAL (SEÇÃO 0,40 X 0,40 M), CEGO, ENCHIMENTO DE BRITA. AF_07/2021",M,0.0987,0.2547,0.1272,0.0942,0.2482,0.245,0.1715,0.2227,0.2128,0.2477,0.2304,0.2484,0.1662,0.1367,0.243,0.262,0.1137,0.348,0.3096,0.1989,0.1412,0.122,0.2767,0.2637,0.1941,0.3665,0.1702
Drenos,102663,"DRENO SUBSUPERFICIAL (SEÇÃO 0,40 X 0,40 M), COM TUBO DE CONCRETO SIMPLES POROSO, DN 200 MM, ENCHIMENTO COM AREIA. AF_07/2021",M,0.1366,0.183,0.1679,0.1239,0.1585,0.1494,0.1481,0.1604,0.1379,0.1405,0.1265,0.1523,0.145,0.1631,0.1332,0.1453,0.0961,0.2381,0.1746,0.1317,0.1245,0.1766,0.1774,0.1862,0.1811,0.199,0.1391
Drenos,102669,"DRENO SUBSUPERFICIAL (SEÇÃO 0,40 X 0,40 M), COM TUBO DE CONCRETO SIMPLES POROSO, DN 200 MM, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,0.0896,0.1354,0.1063,0.0779,0.1302,0.1225,0.1234,0.1204,0.1238,0.1224,0.115,0.1149,0.107,0.1051,0.1084,0.1249,0.063,0.1911,0.1328,0.1082,0.0888,0.1022,0.1359,0.1561,0.1148,0.158,0.1048
Drenos,102661,"DRENO SUBSUPERFICIAL (SEÇÃO 0,40 X 0,40 M), COM TUBO DE PEAD CORRUGADO PERFURADO, DN 100 MM, ENCHIMENTO COM AREIA. AF_07/2021",M,0.162,0.1678,0.2092,0.1416,0.1761,0.1778,0.1436,0.2368,0.1532,0.1567,0.1577,0.2065,0.1722,0.1979,0.1552,0.1667,0.1926,0.206,0.2499,0.178,0.1596,0.2494,0.2097,0.1726,0.1892,0.2619,0.1666
Drenos,102666,"DRENO SUBSUPERFICIAL (SEÇÃO 0,40 X 0,40 M), COM TUBO DE PEAD CORRUGADO PERFURADO, DN 100 MM, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,0.0791,0.1148,0.0949,0.0671,0.1302,0.1273,0.1118,0.1312,0.1299,0.1274,0.1338,0.1216,0.1028,0.0943,0.1118,0.1317,0.0697,0.1608,0.1464,0.1205,0.0866,0.0909,0.1351,0.1393,0.0977,0.1715,0.1029
Drenos,102662,"DRENO SUBSUPERFICIAL (SEÇÃO 0,40 X 0,40 M), COM TUBO DE PVC CORRUGADO RÍGIDO PERFURADO, DN 100 MM, ENCHIMENTO COM AREIA. AF_07/2021",M,0.0947,0.098,0.1354,0.0968,0.1162,0.1045,0.0921,0.0989,0.0916,0.1064,0.0976,0.0968,0.0964,0.11,0.0928,0.1151,0.1098,0.1228,0.1349,0.1019,0.1034,0.1322,0.1035,0.11,0.1069,0.1285,0.0939
Drenos,102668,"DRENO SUBSUPERFICIAL (SEÇÃO 0,40 X 0,40 M), COM TUBO DE PVC CORRUGADO RÍGIDO PERFURADO, DN 100 MM, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,0.0663,0.0833,0.0871,0.0629,0.1007,0.0909,0.0826,0.0812,0.0865,0.0969,0.0919,0.0797,0.0768,0.0772,0.0808,0.1029,0.064,0.1113,0.1073,0.0864,0.0748,0.08,0.088,0.1005,0.0782,0.1103,0.0761
Drenos,102718,"ENCHIMENTO DE AREIA PARA DRENO, LANÇAMENTO MANUAL. AF_07/2021",M3,0.1791,0.2011,0.2511,0.1599,0.1977,0.206,0.1518,0.3039,0.1694,0.1744,0.1704,0.2726,0.2019,0.2346,0.1782,0.1899,0.2449,0.2343,0.3025,0.2117,0.1994,0.3451,0.2639,0.1901,0.2362,0.3341,0.1955
Drenos,102716,"ENCHIMENTO DE AREIA PARA DRENO, LANÇAMENTO MECANIZADO. AF_07/2021",M3,0.0771,0.077,0.1179,0.0652,0.0923,0.0896,0.059,0.1387,0.0682,0.0671,0.0769,0.1192,0.0781,0.0987,0.0714,0.0731,0.1026,0.0958,0.1338,0.087,0.0797,0.1543,0.116,0.0826,0.1012,0.1561,0.0798
Drenos,102719,"ENCHIMENTO DE BRITA PARA DRENO, LANÇAMENTO MANUAL. AF_07/2021",M3,0.0918,0.2475,0.1177,0.0879,0.2356,0.2343,0.1626,0.211,0.2032,0.2392,0.2186,0.2385,0.158,0.1281,0.2346,0.254,0.1064,0.3394,0.2983,0.1892,0.133,0.1138,0.2665,0.2527,0.1845,0.3559,0.1611
Drenos,102717,"ENCHIMENTO DE BRITA PARA DRENO, LANÇAMENTO MECANIZADO. AF_07/2021",M3,0.0387,0.0963,0.0533,0.0352,0.1111,0.1028,0.0634,0.0932,0.0828,0.0942,0.1,0.1033,0.0602,0.052,0.0956,0.1001,0.0428,0.1454,0.1317,0.0772,0.0518,0.0472,0.1172,0.1121,0.0779,0.1677,0.0651
Drenos,102713,"GEOTÊXTIL NÃO TECIDO 100% POLIÉSTER, RESISTÊNCIA A TRAÇÃO DE 14 KN/M (RT - 14), INSTALADO EM DRENO - FORNECIMENTO E INSTALAÇÃO. AF_07/2021",M2,0.0408,0.0314,0.0423,0.0265,0.0399,0.0385,0.0434,0.045,0.0508,0.0392,0.047,0.0361,0.0368,0.0364,0.0306,0.0399,0.0218,0.045,0.0393,0.0454,0.0312,0.0408,0.0395,0.0438,0.0272,0.0491,0.0354
Drenos,102715,"GEOTÊXTIL NÃO TECIDO 100% POLIÉSTER, RESISTÊNCIA A TRAÇÃO DE 26 KN/M (RT - 26), INSTALADO EM DRENO - FORNECIMENTO E INSTALAÇÃO. AF_07/2021",M2,0.0206,0.0159,0.0214,0.0133,0.0202,0.0195,0.022,0.0228,0.0259,0.0199,0.0239,0.0183,0.0186,0.0184,0.0154,0.0202,0.0109,0.0229,0.0199,0.0231,0.0158,0.0206,0.02,0.0222,0.0137,0.025,0.0179
Drenos,103653,"GEOTÊXTIL NÃO TECIDO 100% POLIÉSTER, RESISTÊNCIA A TRAÇÃO DE 31 KN/M (RT-31), INSTALADO EM DRENO - FORNECIMENTO E INSTALAÇÃO. AF_07/2021",M2,0.0173,0.0133,0.018,0.0111,0.0169,0.0163,0.0184,0.0191,0.0217,0.0166,0.02,0.0153,0.0156,0.0154,0.0129,0.0169,0.0091,0.0191,0.0167,0.0193,0.0132,0.0173,0.0167,0.0186,0.0114,0.0209,0.015
Drenos,102712,"GEOTÊXTIL NÃO TECIDO 100% POLIÉSTER, RESISTÊNCIA A TRAÇÃO DE 9 KN/M (RT - 9), INSTALADO EM DRENO - FORNECIMENTO E INSTALAÇÃO. AF_07/2021",M2,0.0559,0.0433,0.058,0.0365,0.0547,0.0528,0.0594,0.0615,0.0695,0.0538,0.0642,0.0497,0.0506,0.0499,0.0421,0.0547,0.0301,0.0616,0.0539,0.0621,0.043,0.0559,0.0542,0.06,0.0374,0.0672,0.0486
Drenos,102711,"JUNÇÃO DUPLA DE PVC, SÉRIE NORMAL, PARA ESGOTO PREDIAL, DN 100 X 100 X 100 MM, INSTALADA EM DRENO - FORNECIMENTO E INSTALAÇÃO. AF_07/2021",UN,0.4549,0.4577,0.5523,0.4794,0.5212,0.4761,0.4672,0.425,0.4503,0.5073,0.471,0.4259,0.4512,0.4828,0.4495,0.5278,0.4789,0.5249,0.5324,0.4652,0.4773,0.5151,0.4501,0.5057,0.4713,0.5059,0.444
Drenos,102710,"JUNÇÃO SIMPLES DE PVC, 45 GRAUS, SÉRIE NORMAL, PARA ESGOTO PREDIAL, DN 100 MM, INSTALADA EM DRENO - FORNECIMENTO E INSTALAÇÃO. AF_07/2021",UN,0.5927,0.5954,0.6826,0.6163,0.6549,0.6131,0.6046,0.563,0.5882,0.6422,0.6083,0.5641,0.5891,0.6194,0.5874,0.6609,0.6157,0.6583,0.665,0.6026,0.6142,0.6493,0.588,0.6409,0.6084,0.641,0.582
Drenos,102708,"LUVA DE PVC, SÉRIE NORMAL, PARA ESGOTO PREDIAL, DN 100 MM, INSTALADA EM DRENO - FORNECIMENTO E INSTALAÇÃO. AF_07/2021",UN,0.7272,0.7294,0.7976,0.7462,0.7766,0.7438,0.7369,0.7024,0.7234,0.7667,0.74,0.7032,0.7243,0.7489,0.7227,0.7812,0.7459,0.7791,0.7844,0.7351,0.7446,0.7722,0.7232,0.7658,0.7401,0.7659,0.7183
Drenos,102707,"TUBO DE CONCRETO SIMPLES POROSO, DN 200 MM, PARA DRENO - FORNECIMENTO E ASSENTAMENTO. AF_07/2021",M,0.107,0.1625,0.1234,0.0981,0.1268,0.1142,0.1365,0.1085,0.1123,0.1143,0.097,0.1049,0.1114,0.1229,0.1036,0.115,0.06,0.2296,0.122,0.0943,0.0894,0.119,0.1318,0.1719,0.1435,0.1407,0.1056
Drenos,102704,"TUBO DE PEAD CORRUGADO PERFURADO, DN 100 MM, PARA DRENO - FORNECIMENTO E ASSENTAMENTO. AF_07/2021",M,0.0459,0.0399,0.0477,0.0373,0.0468,0.0434,0.0468,0.0485,0.0434,0.0442,0.0459,0.0408,0.0434,0.0477,0.0399,0.0442,0.0408,0.0561,0.0595,0.0425,0.0336,0.0459,0.0442,0.0494,0.0408,0.0553,0.0399
Drenos,102705,"TUBO DE PVC CORRUGADO RÍGIDO PERFURADO, DN 100 MM, PARA DRENO - FORNECIMENTO E ASSENTAMENTO. AF_07/2021",M,0.0072,0.0073,0.0104,0.0078,0.0094,0.0076,0.0075,0.0063,0.007,0.0088,0.0076,0.0064,0.0071,0.008,0.007,0.0095,0.0079,0.0096,0.0099,0.0075,0.0078,0.009,0.007,0.0088,0.0077,0.0088,0.0067
Dutos para ar condicionado,98397,PINTURA ANTICORROSIVA DE DUTO METÁLICO. AF_03/2024,M2,0.6485,0.5518,0.6477,0.5956,0.6802,0.5825,0.5607,0.6382,0.5888,0.6243,0.586,0.6161,0.5488,0.6261,0.5991,0.5322,0.5772,0.6451,0.6535,0.6027,0.6314,0.6506,0.6515,0.6324,0.649,0.6365,0.5912
Energia Solar para Edificações,103517,"AQUECEDOR SOLAR COMPACTO, KIT PARA 1 COLETOR SOLAR EM VIDRO TEMPERADO E SERPENTINA EM TUBO DE COBRE COM SUPORTE, RESERVATÓRIO, FIXAÇÕES E TUBOS - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,0.0378,0.0357,0.0391,0.0316,0.0224,0.0363,0.0383,0.0397,0.036,0.0359,0.0421,0.0324,0.0357,0.0385,0.0322,0.036,0.0327,0.0461,0.0474,0.0337,0.0394,0.0393,0.0203,0.0417,0.0327,0.0483,0.0368
Energia Solar para Edificações,103519,"BLOCO CONCRETADO NO LOCAL, 20X20X15CM, PARA BASE DE FIXAÇÃO DA ESTRUTURA SOLAR PARA LAJE DE CONCRETO - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,0.3568,0.386,0.4212,0.3604,0.4805,0.4606,0.4613,0.5143,0.4341,0.4524,0.4865,0.4147,0.3894,0.4328,0.4788,0.4431,0.4116,0.5248,0.5372,0.4489,0.3876,0.4026,0.4447,0.4384,0.3868,0.5315,0.4087
Energia Solar para Edificações,103523,RESERVATÓRIO TÉRMICO/BOILER SOLAR EM AÇO INOX 1000 L COM 5 PLACAS COLETORAS EM VIDRO TEMPERADO COM SERPENTINA EM TUBO DE COBRE 2 X 1 M - FORNECIMENTO E INSTALAÇÃO. AF_12/2021,UN,0.022,0.0179,0.024,0.0176,0.015,0.0239,0.0199,0.0259,0.0201,0.0203,0.0247,0.0193,0.0192,0.0218,0.019,0.0203,0.0196,0.0272,0.0277,0.0201,0.0216,0.0223,0.0139,0.0242,0.0201,0.0254,0.0198
Energia Solar para Edificações,103520,RESERVATÓRIO TÉRMICO/BOILER SOLAR EM AÇO INOX 400 L COM 2 PLACAS COLETORAS EM VIDRO TEMPERADO COM SERPENTINA EM TUBO DE COBRE 2 X 1 M - FORNECIMENTO E INSTALAÇÃO. AF_12/2021,UN,0.0063,0.006,0.0066,0.0053,0.0037,0.0061,0.0064,0.0066,0.006,0.006,0.0071,0.0054,0.006,0.0064,0.0054,0.006,0.0054,0.0078,0.008,0.0056,0.0066,0.0066,0.0034,0.007,0.0054,0.0082,0.0061
Energia Solar para Edificações,103521,RESERVATÓRIO TÉRMICO/BOILER SOLAR EM AÇO INOX 600 L COM 3 PLACAS COLETORAS EM VIDRO TEMPERADO COM SERPENTINA EM TUBO DE COBRE 2 X 1 M - FORNECIMENTO E INSTALAÇÃO. AF_12/2021,UN,0.0068,0.0065,0.0071,0.0057,0.004,0.0066,0.007,0.0072,0.0065,0.0065,0.0077,0.0058,0.0065,0.007,0.0058,0.0065,0.0059,0.0084,0.0087,0.0061,0.0072,0.0071,0.0036,0.0076,0.0059,0.0088,0.0067
Energia Solar para Edificações,103522,RESERVATÓRIO TÉRMICO/BOILER SOLAR EM AÇO INOX 800 L COM 4 PLACAS COLETORAS EM VIDRO TEMPERADO COM SERPENTINA EM TUBO DE COBRE 2 X 1 M - FORNECIMENTO E INSTALAÇÃO. AF_12/2021,UN,0.0318,0.0256,0.0346,0.0254,0.0219,0.0346,0.0285,0.0373,0.0289,0.0292,0.0355,0.0278,0.0277,0.0314,0.0274,0.0293,0.0284,0.0391,0.0398,0.029,0.031,0.032,0.0203,0.0348,0.029,0.0363,0.0284
Equipamentos de Proteção Coletiva,97062,COLOCAÇÃO DE TELA EM ANDAIME FACHADEIRO. AF_03/2024,M2,0.5922,0.5015,0.5619,0.5492,0.5894,0.6343,0.5181,0.6377,0.5787,0.5804,0.6024,0.5126,0.4986,0.5342,0.5281,0.5077,0.5101,0.6324,0.5855,0.5392,0.5727,0.4854,0.4292,0.5802,0.5682,0.6337,0.5742
Equipamentos de Proteção Coletiva,97040,FECHAMENTO REMOVÍVEL DE ABERTURA DE CAIXILHO EM MADEIRA - 4 MONTAGENS EM OBRA. AF_03/2024,M2,0.7334,0.5604,0.7282,0.6343,0.6728,0.6327,0.6973,0.7315,0.6103,0.6151,0.7187,0.6993,0.5966,0.6187,0.584,0.6093,0.6124,0.7557,0.7409,0.5342,0.7322,0.7676,0.7218,0.7527,0.5836,0.7304,0.6216
Equipamentos de Proteção Coletiva,97041,FECHAMENTO REMOVÍVEL DE ABERTURA NO PISO EM MADEIRA - 1 MONTAGEM EM OBRA. AF_03/2024,M2,0.2835,0.1548,0.2761,0.1959,0.2242,0.1945,0.249,0.2807,0.1825,0.1853,0.2673,0.2525,0.1753,0.1866,0.1661,0.1818,0.1846,0.307,0.29,0.1407,0.2835,0.323,0.2694,0.3019,0.1645,0.2783,0.1903
Equipamentos de Proteção Coletiva,97039,FECHAMENTO REMOVÍVEL DE VÃO DE PORTAS EM MADEIRA (VÃO DO ELEVADOR) - 1 MONTAGEM EM OBRA. AF_03/2024,M2,0.2683,0.2422,0.316,0.2413,0.3412,0.2925,0.3587,0.3354,0.2397,0.2837,0.3252,0.2891,0.2581,0.2968,0.3584,0.3147,0.2422,0.4085,0.3905,0.2439,0.2117,0.3203,0.2805,0.3349,0.2875,0.3906,0.2751
Equipamentos de Proteção Coletiva,97032,"GUARDA-CORPO EM LAJE PÓS-DESFÔRMA COM ESCORAS DE MADEIRA ESTRONCADAS NA ESTRUTURA, TRAVESSÕES DE MADEIRA E FECHAMENTO EM TELA DE POLIPROPILENO PARA EDIFÍCIOS ACIMA DE 4 PAVIMENTOS (2 MONTAGENS). AF_03/2024",M,0.3655,0.3114,0.4113,0.332,0.3359,0.2969,0.3298,0.3435,0.3431,0.3066,0.2917,0.2935,0.312,0.327,0.3077,0.2898,0.3266,0.3251,0.356,0.2575,0.3654,0.4255,0.3317,0.2208,0.3074,0.3358,0.301
Equipamentos de Proteção Coletiva,97031,"GUARDA-CORPO EM LAJE PÓS-DESFÔRMA COM ESCORAS DE MADEIRA ESTRONCADAS NA ESTRUTURA, TRAVESSÕES DE MADEIRA E FECHAMENTO EM TELA DE POLIPROPILENO PARA EDIFÍCIOS COM ATÉ 4 PAVIMENTOS (1 MONTAGEM). AF_03/2024",M,0.2313,0.1913,0.2676,0.206,0.2087,0.1803,0.2042,0.2146,0.2145,0.1875,0.1767,0.1783,0.1914,0.202,0.1885,0.1753,0.2022,0.2006,0.2238,0.1532,0.2311,0.2789,0.2052,0.1284,0.1881,0.2082,0.1833
Equipamentos de Proteção Coletiva,97034,"GUARDA-CORPO EM LAJE PÓS-DESFÔRMA COM ESCORAS METÁLICAS ESTRONCADAS NA ESTRUTURA, TRAVESSÕES DE MADEIRA E FECHAMENTO EM TELA DE POLIPROPILENO PARA EDIFÍCIOS ACIMA DE 4 PAVIMENTOS (2 MONTAGENS). AF_03/2024_PS",M,0.4739,0.4615,0.54,0.4783,0.4762,0.4269,0.4459,0.461,0.5033,0.4486,0.3955,0.3911,0.4481,0.4777,0.4679,0.4148,0.4797,0.4267,0.4719,0.395,0.4773,0.5464,0.44,0.2925,0.4505,0.4421,0.4259
Equipamentos de Proteção Coletiva,97033,"GUARDA-CORPO EM LAJE PÓS-DESFÔRMA COM ESCORAS METÁLICAS ESTRONCADAS NA ESTRUTURA, TRAVESSÕES DE MADEIRA E FECHAMENTO EM TELA DE POLIPROPILENO PARA EDIFÍCIOS COM ATÉ 4 PAVIMENTOS (1 MONTAGEM). AF_03/2024_PS",M,0.3176,0.307,0.3774,0.3216,0.32,0.2782,0.2939,0.307,0.3439,0.2965,0.2532,0.2494,0.2955,0.3212,0.3129,0.2683,0.323,0.2782,0.3161,0.2527,0.3207,0.3834,0.2887,0.1763,0.2975,0.2908,0.2774
Equipamentos de Proteção Coletiva,97014,GUARDA-CORPO FIXADO EM FÔRMA DE MADEIRA COM MONTANTES E TRAVESSÕES EM MADEIRA E FECHAMENTO EM PLACA COMPENSADO PARA EDIFÍCIOS COM 3 PAVIMENTOS. AF_03/2024,M,0.2725,0.2725,0.3324,0.2632,0.3125,0.2682,0.3059,0.2937,0.2745,0.2755,0.2552,0.2472,0.2716,0.3013,0.3294,0.2802,0.2665,0.3014,0.3262,0.2387,0.236,0.3343,0.268,0.1984,0.2927,0.312,0.2646
Equipamentos de Proteção Coletiva,97015,GUARDA-CORPO FIXADO EM FÔRMA DE MADEIRA COM MONTANTES E TRAVESSÕES EM MADEIRA E FECHAMENTO EM PLACA COMPENSADO PARA EDIFÍCIOS COM ALTURA IGUAL OU SUPERIOR A 4 PAVIMENTOS. AF_03/2024,M,0.329,0.328,0.3941,0.3187,0.3724,0.3243,0.365,0.3517,0.331,0.3318,0.3093,0.3,0.3276,0.3604,0.389,0.337,0.3218,0.3605,0.3871,0.2904,0.2887,0.3962,0.3242,0.2447,0.3507,0.3724,0.32
Equipamentos de Proteção Coletiva,97013,GUARDA-CORPO FIXADO EM FÔRMA DE MADEIRA COM MONTANTES E TRAVESSÕES EM MADEIRA E FECHAMENTO EM PLACA COMPENSADO PARA EDIFÍCIOS COM ATÉ 2 PAVIMENTOS. AF_03/2024,M,0.2027,0.2034,0.2531,0.1951,0.2362,0.1992,0.2311,0.2206,0.2044,0.2058,0.189,0.1828,0.2024,0.2267,0.2522,0.2095,0.198,0.227,0.2481,0.176,0.1728,0.2546,0.1988,0.144,0.2198,0.2354,0.1964
Equipamentos de Proteção Coletiva,97017,GUARDA-CORPO FIXADO EM FÔRMA DE MADEIRA COM MONTANTES E TRAVESSÕES EM MADEIRA PRÉ-MONTADOS PARA EDIFÍCIOS COM 3 PAVIMENTOS. AF_03/2024,M,0.3432,0.3332,0.4119,0.3446,0.3329,0.2878,0.3075,0.317,0.3626,0.3042,0.2578,0.2643,0.3158,0.3351,0.3229,0.2799,0.3365,0.2855,0.3292,0.2563,0.3396,0.4145,0.308,0.1809,0.325,0.3006,0.2893
Equipamentos de Proteção Coletiva,97018,GUARDA-CORPO FIXADO EM FÔRMA DE MADEIRA COM MONTANTES E TRAVESSÕES EM MADEIRA PRÉ-MONTADOS PARA EDIFÍCIOS COM ALTURA IGUAL OU SUPERIOR A 4 PAVIMENTOS. AF_03/2024,M,0.4059,0.3952,0.4783,0.4073,0.3949,0.3457,0.3673,0.3776,0.4265,0.3638,0.3123,0.3197,0.3765,0.3972,0.3842,0.337,0.3988,0.3432,0.391,0.3107,0.402,0.4809,0.368,0.2241,0.3864,0.3598,0.3474
Equipamentos de Proteção Coletiva,97016,GUARDA-CORPO FIXADO EM FÔRMA DE MADEIRA COM MONTANTES E TRAVESSÕES EM MADEIRA PRÉ-MONTADOS PARA EDIFÍCIOS COM ATÉ 2 PAVIMENTOS. AF_03/2024,M,0.2616,0.2529,0.322,0.2627,0.2527,0.2151,0.2313,0.2393,0.2783,0.2287,0.1906,0.1959,0.2383,0.2547,0.2444,0.2085,0.2558,0.2133,0.2498,0.1895,0.2585,0.3241,0.2317,0.1303,0.2461,0.2257,0.2162
Equipamentos de Proteção Coletiva,104990,"GUARDA-CORPO PARA POÇO DE CREMALHEIRA, COM MONTANTE METÁLICO FIXADO EM LAJE COM CHUMBADOR PARABOLT E FECHAMENTO EM PAINEL DE TELA METÁLICA (EXCLUSO PROTEÇÃO). AF_03/2024",M,0.5532,0.4894,0.5705,0.4253,0.5114,0.4535,0.5583,0.5821,0.5488,0.5394,0.5142,0.4833,0.5156,0.4893,0.5365,0.4201,0.5157,0.6105,0.5544,0.5226,0.5128,0.5673,0.5373,0.5355,0.5176,0.5887,0.5279
Equipamentos de Proteção Coletiva,97054,INSTALAÇÃO DE SINALIZADOR NOTURNO LED. AF_03/2024,UN,0.4249,0.387,0.3642,0.3828,0.4092,0.4172,0.4836,0.4599,0.3837,0.4109,0.4457,0.3518,0.3655,0.391,0.5131,0.4147,0.398,0.4774,0.5045,0.3682,0.3951,0.4049,0.4024,0.4475,0.3487,0.4691,0.421
Equipamentos de Proteção Coletiva,97063,"MONTAGEM E DESMONTAGEM DE ANDAIME MODULAR FACHADEIRO, COM PISO METÁLICO, PARA EDIFÍCIOS COM MULTIPLOS PAVIMENTOS (EXCLUSIVE ANDAIME E LIMPEZA). AF_03/2024",M2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
